title,plus_code,latitude,longitude
IB'STUDIO,6P58RR94+5F,-6.182016,106.80613
SPARTAN TAEKWONDO JAKARTA,6P58RR94+JG,-6.180876,106.806287
kmi,6P58RRP6+F4,-6.163753,106.810271
Mako Wildd Rabbits,6P58RRR4+5X,-6.159512,106.807422
akupuntur,6P58RRR6+8G,-6.159245,106.81131
Redtop Fitness Center & Spa,6P58RRPG+HQ,-6.163511,106.82692
Wei Taekwon-Do Academy,6P58RRQM+6J,-6.161887,106.834025
Oriental Futsal,6P58RRQH+9C,-6.161513,106.828587
Hyperhaken Academy,6P58RRQJ+JV,-6.160997,106.832161
Padepokan Pencak Silat RETI ATI jakarta,6P58RQ4G+GF,-6.193642,106.776133
Perfect health Gramedia Lippo Mall Puri,6P58RP7Q+3M,-6.187287,106.739135
Rumah ogut,6P58RPM4+GC,-6.166193,106.706049
Yoga,6P58RQH5+WJ,-6.170244,106.759012
Sharana Bugar,6P58RQQ3+MJ,-6.160806,106.754006
Badminton Court Suka Menanti,6P58RPRW+9F,-6.159077,106.746167
PSHT RAYON SEMANAN PUSAT MADIUN,6P58RPR4+49,-6.15973,106.705905
PATLAT IKS PI KERA SAKTI PABRIK BAN,6P58RMVQ+9C,-6.156536,106.68859
PSHT RAYON KODAM,6P58RMVX+GG,-6.156152,106.698798
Traditional Pencak Silat Beksi H. Hasbullah,6P58RMWQ+66,-6.154465,106.688074
Club Adisyah,6P58QQRW+P9,-6.208158,106.795929
Kantin Simbok Fitness Manggala Wanabakti,6P58QQRX+RR,-6.207877,106.799601
Mci Palmerah Rizka Body,6P58QQWW+FC,-6.20385,106.796017
Tempat tinggal,6P58RR22+R8,-6.197976,106.800846
Renang Indonesia,6P58RQ9M+MV,-6.180811,106.784689
FoxPRO,6P58RQCM+CG,-6.178902,106.783793
Shaga Fitness & Health - Central Park,6P58RQFR+J2,-6.175926,106.790014
RockStar Academy - Neo Soho,6P58RQGR+32,-6.174802,106.790089
KETTLER & ARENA TAMAN ANGGREK,6P58RQCR+HV,-6.178583,106.792213
Littleroot Town Pokémon Gym,6P58RQCX+MP,-6.17834,106.799299
Jkrt barat,6P58RQGJ+PG,-6.173184,106.781321
Sparks Sports Academy - Tanjung Duren,6P58RQGM+HF,-6.173588,106.783675
Herbalife Grogol,6P58RQJP+5G,-6.169516,106.786327
Daily Dose Pilates - Untar,6P58RQJP+8F,-6.169211,106.786206
Lapangan basket tomang sakti,6P58RQJM+P2,-6.16817,106.782597
Kyokushin Karate IKKA Dojo Grogol,6P58RQQW+RP,-6.160488,106.796837
Wingchun Jakarta Perguruan Kungfu Harimau Besi,6P58RQQW+RJ,-6.160418,106.796619
Wu ji wingchun school,6P58RQWR+7X,-6.154346,106.792445
Mind & Body Wing Chun,6P58RQWR+8X,-6.154166,106.7924
PGB BANGAU PUTIH - MENARA LATUMENTEN,6P58RQWV+89,-6.154148,106.7934
INKANAS KARATE DOJO ICN JAKBAR,6P58RQWW+JC,-6.153412,106.796084
Lahan,6P58RQWX+RF,-6.152928,106.798659
Dojo Indra Sakti (Karate Kyokushin Organization),6P58RQWX+X4,-6.152538,106.797858
Beyond Fighter Taekwondo,6P58RQVQ+R7,-6.155493,106.788167
Pingpong,6P58VQ3J+FW,-6.146339,106.782263
Suplement Susu fitness,6P58VQ3Q+FJ,-6.146335,106.78909
Perguruan Silat putra kahiji,6P58VQ4J+4M,-6.144739,106.781651
Fit Mood,6P58VQ4M+FW,-6.143864,106.784792
Sanggar Lenong 212,6P58VQ4Q+FF,-6.143806,106.788725
Blue pool bar Kalijodo,6P58VQ6Q+47,-6.139685,106.788127
Toko Alat Fitness & Gym - Jakarta,6P58RQVH+GM,-6.156168,106.779171
Pilates Reform Citra 7,6P58VP32+7G,-6.146788,106.701355
Club House Casa Jardin Residence,6P58RQW3+86,-6.154132,106.753017
DESH CLUB,6P58VP7X+V4,-6.135263,106.747854
FIT HUB Taman Palem Lestari,6P58VP6G+95,-6.13907,106.725422
Fitness Store,6P58VP6H+PP,-6.13813,106.729296
PT Targetfit Surya Mandiri,6P58VP6H+XR,-6.13755,106.729571
Fitness Station,6P58VP6H+XR,-6.137533,106.729571
Reebok Fitness,6P58VP7H+9R,-6.136609,106.729582
UB Sport Hall,6P58VP7H+W6,-6.135139,106.728045
Dojo Genbu Karate & Kickboxing,6P58VM8R+GX,-6.13364,106.692393
